0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
5.74e-05,7.63e-05,5.26e-05,0.000214411,0.000161942,0.000151228,0.000117651,8.82e-05,6.26e-05,0.000142797,3.66e-05,0.00029331,0.00029342,0.000172122,6.7e-05,0.00027552,0.000233344,7.22e-05,8.74e-05,0.000133468,0.000270098,0.00018327,0.000180569,0.000180438,0.000295392,0.000113574,0.000269477,0.000229669,0.000108121,0.000171788,0.000120457,0.000235433,0.000383514,0.000178461,0.000180614
6.72e-05,8.14e-05,7.59e-05,0.000193036,0.000180291,0.00016934,0.000125285,9.83e-05,7.28e-05,0.000183963,3.51e-05,0.000239694,0.000302964,0.00017045,9.86e-05,0.000240285,0.00020005,0.00010847,0.000129423,0.000166831,0.000220175,0.000137144,0.000164349,0.00015782,0.000264668,0.000146437,0.000291987,0.000193276,0.00011684,0.000149025,0.000120224,0.000224467,0.000298325,0.00020759,0.000163509
7.34e-05,7.81e-05,7.85e-05,0.000250426,0.000172306,0.000128237,0.000146109,0.000101378,7.78e-05,0.000154026,3.94e-05,0.000251806,0.000335393,0.000179808,8.26e-05,0.000310166,0.00020727,9.64e-05,0.000107942,0.000181064,0.000280581,0.000187805,0.000203876,0.000196648,0.000347024,0.000136178,0.000315082,0.000243051,8.93e-05,0.000187066,0.000130734,0.000199478,0.000347895,0.000167075,0.000186551
7.89e-05,9.91e-05,9.43e-05,0.000195615,0.000172446,0.000147285,0.000132585,0.000122467,8.74e-05,0.000170761,3.84e-05,0.000277477,0.000339168,0.000175862,0.00010028,0.000242704,0.000192499,0.000124954,0.000131311,0.000203717,0.000231159,0.000134613,0.000146335,0.000149761,0.000263442,0.000144669,0.000261691,0.000163448,5.94e-05,0.000148172,0.000123639,0.000156723,0.000299998,0.000127049,0.000149066
0.000125576,0.00015799,0.00012769,0.000259073,0.000224849,0.000164931,0.00021307,0.000188942,0.000137097,0.000256069,6.4e-05,0.000334081,0.000442151,0.000245328,0.000144949,0.000291316,0.000243087,0.000172146,0.000159572,0.000257911,0.000302277,0.000180259,0.000206603,0.000189574,0.000320113,0.000170712,0.000362385,0.000204159,9.38e-05,0.000217151,0.000176166,0.000259624,0.000373959,0.000182045,0.000174131
0.000148255,0.000148153,0.000150987,0.000257696,0.000276072,0.000199526,0.000226837,0.000170436,0.000115743,0.000245867,5.83e-05,0.000349735,0.000455802,0.000309041,0.000194596,0.000366799,0.000298138,0.000223286,0.00023681,0.000332037,0.000340338,0.000200009,0.000202191,0.000217943,0.000377081,0.000214822,0.000460526,0.000247273,0.000113647,0.000275573,0.000210414,0.000303495,0.00053773,0.000231947,0.000212879
0.000140571,0.000155279,0.000152049,0.000313504,0.000294532,0.000167728,0.00023352,0.000207112,0.000138844,0.00027381,5.96e-05,0.000292363,0.000408859,0.00026214,0.00017536,0.000450592,0.000333317,0.000201374,0.000256848,0.000356123,0.000356294,0.000255127,0.000241198,0.000254569,0.000464873,0.000228878,0.000494236,0.000312057,0.000135495,0.00027504,0.000239599,0.000304991,0.000586975,0.000242727,0.000212284
0.000130516,0.000154215,0.000144485,0.000374251,0.000238652,0.000209491,0.000262295,0.000202048,0.000139114,0.000219625,6.63e-05,0.000311698,0.000449213,0.00031293,0.000193314,0.000425487,0.00030067,0.000206934,0.000242399,0.000351814,0.00041296,0.000266713,0.000440525,0.000295886,0.000436327,0.000231928,0.000495353,0.000302908,0.000140186,0.000279869,0.000223063,0.000316381,0.000591531,0.000224885,0.000192144
0.000131833,0.000153994,0.000144048,0.000255561,0.000264239,0.000160672,0.000187906,0.000167687,0.000120088,0.000260888,5.89e-05,0.000383625,0.000450509,0.000304572,0.000155114,0.000416378,0.000265562,0.000183629,0.00020872,0.000285178,0.000277188,0.000190698,0.0001994,0.000246886,0.000405657,0.000175461,0.000370878,0.00026558,9.95e-05,0.000191216,0.000160404,0.000235828,0.000397022,0.000179813,0.000201021
9.05e-05,9.5e-05,0.000100637,0.000150987,0.000160917,0.000108133,0.00010815,8.85e-05,6.23e-05,0.000135067,3.49e-05,0.000379969,0.000444454,0.00028708,0.000148369,0.00022545,0.000189931,0.000142621,0.00016567,0.000273562,0.000227461,0.000135131,0.000144847,0.000137121,0.000251725,0.000184738,0.000343653,0.000172816,7.77e-05,0.000198193,0.000194634,0.000227452,0.000347826,0.000173281,0.000147661
0.00011358,0.00013443,0.000101428,0.000177837,0.000184427,0.000112536,0.000127144,0.000142205,0.000108656,0.00020628,6.72e-05,0.000408678,0.000487079,0.000272873,0.000108389,0.000261371,0.00022716,0.00012617,0.000145241,0.000251237,0.000246682,0.000141917,0.000146492,0.000137319,0.000270448,0.000224707,0.000367935,0.000169121,6.62e-05,0.000229336,0.000175767,0.000263144,0.000321742,0.000222655,0.000156922
5.71e-05,7.31e-05,5.87e-05,0.000252362,0.000140034,0.000120272,0.000115864,7.15e-05,5.25e-05,0.000136463,2.48e-05,0.000307598,0.000320434,0.000171589,7.85e-05,0.00023999,0.000184741,8.91e-05,9.37e-05,0.00016375,0.000271817,0.000159942,0.000190958,0.000157963,0.000231793,0.000124453,0.000252984,0.000155877,9.57e-05,0.000124964,0.000110342,0.000191152,0.000289146,0.000173343,0.000185143
