0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.00012836,0.000150027,0.000119578,9.6e-05,0.000104605,0.000135736,0.000102567,0.000121,0.0001505,8.15e-05,9.88e-05,0.000105646,0.000115391,7.86e-05,0.000131026,9.97e-05,5.62e-05,0.000175127,9.86e-05,0.00010173,0.000137431,8.94e-05,0.000214965,0.000189579,0.000101564,0.000158452,0.000174222,0.0001992
0.000145317,0.000154125,0.000146252,0.000119623,0.000108732,0.000131972,0.000132798,0.000118757,0.000165712,7.37e-05,0.000137963,0.000117485,0.000135242,9.69e-05,0.00013094,0.000112191,9.01e-05,0.000189285,0.000131264,0.000129616,0.000176342,9.09e-05,0.000216694,0.000214283,9.75e-05,0.00015944,0.000152475,0.000246606
0.000164255,0.000155354,0.000117599,0.000100098,0.000115035,0.000140279,0.000111548,0.000133733,0.000171977,0.000106032,0.000129606,0.000144037,0.000139762,0.000104144,0.000141903,0.000118895,8.63e-05,0.000190292,0.000117767,0.000133942,0.000196814,0.000101234,0.000246083,0.00019828,0.000105885,0.000181212,0.000185541,0.000237401
0.000148364,0.000129279,0.000106089,0.000123108,0.000145879,0.000167953,0.000125494,0.000182267,0.000170018,0.000110061,9.53e-05,0.000103111,0.000111429,8.94e-05,0.000151615,7.76e-05,7.54e-05,0.000144966,0.000117122,9.43e-05,0.000178191,0.000155497,0.000321769,0.000236777,0.000133432,0.000242688,0.000226403,0.000164542
0.000231382,0.000198042,0.00012912,0.000178032,0.000207997,0.000248419,0.000172868,0.000221142,0.000261128,0.000155961,0.000135878,0.000140039,0.000139717,9.74e-05,0.000153376,0.000149097,0.000126823,0.000189574,0.000167043,0.000142052,0.000220753,0.000180279,0.000410062,0.000236087,0.000171906,0.000248917,0.000321704,0.000219287
0.000200385,0.000166086,0.000136826,0.000161128,0.000200257,0.000275052,0.000213133,0.00026589,0.000269624,0.000163544,0.000144018,0.000188004,0.000157778,0.000177975,0.000164385,0.00017174,0.000116768,0.00021898,0.000168227,0.000163349,0.000249308,0.000171644,0.000420328,0.000217109,0.000169736,0.000247866,0.000299845,0.000228804
0.000192443,0.00014683,8.86e-05,0.000131873,0.000165903,0.000200515,0.000155435,0.000243303,0.000251512,0.000135656,0.000168033,0.000181026,0.000171545,8.43e-05,0.000140231,0.000105663,0.000101549,0.000158318,0.000143288,0.000106987,0.000166383,0.000137441,0.000374244,0.000179168,0.00012389,0.000149506,0.000310924,0.000143164
0.000127174,8.95e-05,4.35e-05,0.000128859,0.000143039,0.0001572,0.000126721,0.000184775,0.000194783,0.000107861,0.000110025,0.000136937,0.000115405,4.91e-05,0.000117388,0.000112064,7.75e-05,0.000134947,8.85e-05,6.05e-05,0.000121304,0.000103493,0.000280203,0.000143592,0.000112961,0.000156891,0.00021575,9.27e-05
0.00014809,0.000135179,7.94e-05,0.000110137,0.000133856,0.000194941,0.000129882,0.000188285,0.000216944,0.000138842,0.000141608,0.000182109,0.000181684,0.000122135,0.000235656,0.000189932,0.000125367,0.000249256,0.000155119,0.000134219,0.000173659,0.000160789,0.000305677,0.000183338,0.000161351,0.000217473,0.000204475,8.83e-05
0.000103909,0.000117367,0.000114746,0.000144681,0.000129858,0.000134749,0.000101105,0.000129179,0.000154289,7.77e-05,9.38e-05,0.000118333,0.000100993,0.00012167,0.000181719,0.000126491,8.43e-05,0.000259977,0.000119827,0.000157378,0.00016666,9.96e-05,0.000205415,0.000212473,0.00011708,0.000181436,0.000153117,0.000186274
0.000165502,0.000179943,0.000149716,0.000111686,0.000119283,0.000133182,0.000115081,0.000118199,0.000132926,8.36e-05,0.000112116,0.000138119,0.000137196,0.000124798,0.000145351,0.000135161,9.07e-05,0.000275265,0.000126335,0.000158358,0.000163099,9.76e-05,0.000239781,0.000247717,9.78e-05,0.000178867,0.000180374,0.000246279
0.000157488,0.000196984,0.000182413,0.0001203,0.000126825,0.000150285,0.000104572,0.000122978,0.000139514,9.02e-05,0.000114303,0.00012766,0.000137755,7.96e-05,0.000141948,0.000103773,7.07e-05,0.000231232,0.00013156,0.000147778,0.000208878,0.000108081,0.000247927,0.000238409,0.000105324,0.000190825,0.000188933,0.000242385
