0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.000383334,0.000500129,0.000133674,0.000584769,0.000207916,9.03e-05,0.000200197,0.000105035,0.000170625,9.03e-05,0.0001951,0.000194002,0.000265527,0.000144362,0.000140222,0.000140222,0.00025015,0.000311897,0.000215266,0.000254497,0.000282905,0.000284079,0.000169074,0.000105978,0.00010797,0.000252934
0.000352723,0.000441595,0.000121366,0.000496483,0.000171324,7.73e-05,0.000184838,9.49e-05,0.000141023,7.73e-05,0.000173574,0.000176833,0.000331324,0.000123299,0.000136732,0.000136732,0.000328912,0.000291064,0.000191085,0.00024021,0.000265473,0.000239784,0.000145171,9.53e-05,0.000112064,0.000230077
0.00038996,0.000432837,0.000129568,0.000527321,0.000223562,9.55e-05,0.000183927,0.000104511,0.000149914,9.55e-05,0.00022755,0.000203673,0.000275448,0.000163891,0.000144646,0.000144646,0.000257102,0.000376366,0.000200536,0.000268588,0.000239349,0.00027457,0.000155584,9.88e-05,0.000109169,0.00030437
0.000290152,0.000400532,0.000109628,0.000513574,0.000163706,7.94e-05,0.000143451,8.06e-05,0.0001413,7.94e-05,0.000147117,0.00014612,0.000209163,0.000106625,0.000112466,0.000112466,0.000204988,0.000474907,0.000169962,0.000206315,0.000314763,0.000214807,0.00013025,7.67e-05,9.7e-05,0.000387833
0.000321982,0.000518215,0.000123051,0.000593314,0.00020342,9.59e-05,0.00016317,0.000106534,0.000185205,9.59e-05,0.000194105,0.000202605,0.000250859,0.000140134,0.000123319,0.000123319,0.000239101,0.000584032,0.000208282,0.000255718,0.000426766,0.000285508,0.000139564,0.000106175,0.000110865,0.000509182
0.000303383,0.00039347,0.000102102,0.000526005,0.000207057,9.94e-05,0.000157256,0.000100799,0.000192344,9.94e-05,0.000201078,0.000225653,0.000292399,0.000146862,0.000142951,0.000142951,0.000284437,0.000452829,0.000233496,0.000233561,0.000249577,0.00026574,0.000126277,7.11e-05,0.000123513,0.000415415
0.000283138,0.000362635,8.71e-05,0.000490754,0.000187821,8.88e-05,0.000138051,8.84e-05,0.000163048,8.88e-05,0.000196481,0.000215286,0.000255561,0.000148594,0.000150858,0.000150858,0.00027212,0.000470211,0.000217323,0.000223654,0.00023734,0.0002721,0.000135965,7.15e-05,0.000122029,0.000349548
0.000282013,0.000349936,0.00010885,0.00052187,0.000191732,9.53e-05,0.000142114,9.75e-05,0.000167439,9.53e-05,0.000174123,0.00019894,0.000250931,0.000125686,0.000162425,0.000162425,0.000247263,0.000418816,0.000202158,0.000230649,0.000249267,0.00026005,0.000128001,6.96e-05,0.000122176,0.000327817
0.00026812,0.000403257,9.3e-05,0.000446558,0.000159644,7.5e-05,0.000107952,7.49e-05,0.000133459,7.5e-05,0.00015727,0.000152638,0.000230199,0.000105401,0.000131924,0.000131924,0.000242313,0.000481406,0.000218222,0.00021287,0.000295768,0.00022811,0.000139534,7.15e-05,0.000114892,0.000377629
0.000308522,0.000445727,0.000106279,0.000497291,0.000187465,7.98e-05,0.00014818,9.16e-05,0.000154421,7.98e-05,0.0001502,0.000150844,0.000185833,0.00010093,9.83e-05,9.83e-05,0.00019748,0.000416673,0.000150026,0.000212819,0.00031212,0.000193097,0.00012488,7.07e-05,8.24e-05,0.000360706
0.000353659,0.000493385,0.000151873,0.000555365,0.0001872,9.08e-05,0.000176658,0.000111478,0.000164342,9.08e-05,0.000190063,0.000173592,0.000305434,0.00012359,0.000117427,0.000117427,0.00026667,0.000653025,0.000179768,0.00022367,0.000422481,0.000297404,0.000167897,0.000103047,9.57e-05,0.000599971
0.000408466,0.000391626,0.00013429,0.000463261,0.000227276,8.93e-05,0.000197845,0.00010559,0.000175462,8.93e-05,0.000207407,0.000182623,0.000243577,0.000125398,0.000144532,0.000144532,0.000243256,0.000268831,0.000177121,0.000221247,0.000212826,0.000272682,0.00015395,9.54e-05,0.000101596,0.000259945
