0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.000122662,0.000321687,0.000324874,0.000190478,0.000232427,0.000380522,0.000104948,0.00046851,3.86e-05,0.000173112,0.000107957,8.69e-05,0.000122961,3.88e-05,9.63e-05,8.63e-05,0.000106725,0.000130899,8.34e-05,0.000253277,0.000160667
0.000119222,0.000370268,0.000402624,0.000182826,0.0002277,0.00038532,0.00015146,0.000455518,5.66e-05,0.000168914,0.000110002,0.000106093,0.000149699,4.71e-05,0.000102961,8.88e-05,8.33e-05,0.00010937,6.73e-05,0.000281429,0.000209625
0.000143952,0.00033396,0.000357793,0.000179805,0.000244689,0.000375767,0.000111125,0.000428697,4.76e-05,0.000191711,0.000107296,9.22e-05,0.000117576,4.5e-05,0.000107277,0.0001,0.000125544,0.000141823,9.94e-05,0.000228754,0.00020041
0.000180677,0.00033769,0.000360606,0.000173239,0.000207387,0.000262107,0.00012398,0.000333896,6.64e-05,0.000245412,0.000125612,0.000113353,0.000153544,4.92e-05,0.000124024,0.000140996,0.000136276,0.000155342,9.77e-05,0.000278288,0.000258605
0.000216522,0.000359994,0.000358132,0.000162521,0.000200625,0.00022862,0.000132984,0.000250182,6.55e-05,0.000248151,0.000133167,0.000128213,0.000201456,5.73e-05,0.000157674,0.000152576,0.000174696,0.000231883,0.000131049,0.000291124,0.00030293
0.000242628,0.000358937,0.000366798,0.00015488,0.000182407,0.000235368,0.000136568,0.000211845,8.82e-05,0.000302094,0.000159612,0.000155309,0.000209321,6.89e-05,0.000158955,0.000140698,0.000167456,0.00028662,0.00015228,0.000318792,0.000275051
0.000163045,0.000242071,0.000273205,0.000200595,0.000129918,0.000129059,9.38e-05,0.000133783,6.79e-05,0.000236251,0.000145421,0.000145096,0.00019706,7.56e-05,0.000122413,0.000120372,0.000159512,0.000186914,0.000123668,0.000238013,0.000217818
0.000217518,0.000401409,0.000379709,0.000150674,0.000187367,0.000208501,0.000139771,0.000230147,7.94e-05,0.000299306,0.000175538,0.000160611,0.000214213,7.32e-05,0.000147141,0.000155323,0.000176889,0.000218674,0.00012086,0.000301154,0.000247614
0.000211181,0.000543136,0.000608561,0.000302373,0.000322641,0.000345054,0.000208994,0.000320615,9.15e-05,0.000331073,0.00019696,0.00019888,0.000264449,8.77e-05,0.000180407,0.000164275,0.000164307,0.000202328,8.99e-05,0.000422713,0.000295777
0.00017479,0.000558775,0.000578658,0.000318273,0.000342395,0.00034719,0.000199816,0.000421029,6.79e-05,0.000266999,0.00014236,0.000135232,0.000179669,6.12e-05,0.000117725,0.000107326,0.000143794,0.000206142,9.75e-05,0.000395309,0.000275629
0.000154167,0.00055114,0.000584148,0.00023714,0.00043085,0.000560893,0.000226651,0.000668956,7.91e-05,0.000282549,0.000145588,0.000141582,0.000174508,5.82e-05,0.000125515,0.000112066,0.000140116,0.000173594,0.000112292,0.000397045,0.000252771
0.0001537,0.000432597,0.000462631,0.000202033,0.000258432,0.000415742,0.000160833,0.000456759,5.14e-05,0.00017996,9.11e-05,8.6e-05,0.000138771,3.83e-05,0.000110687,0.000107336,0.000132949,0.000153036,9.52e-05,0.000267406,0.000223884
