0,1,2,3,4,5,6,7
0.00095101,0.000919211,0.000745801,0.000495815,0.000806136,0.000130875,0.000404988,0.00032826
0.000978894,0.000933216,0.000651717,0.000449516,0.000650501,0.000154884,0.000447827,0.000331051
0.000716003,0.00071885,0.000513913,0.000290482,0.000500989,9.35e-05,0.000253884,0.000244487
0.000504378,0.000489446,0.000422028,0.000291269,0.000437752,9.5e-05,0.000249167,0.00020116
0.000585863,0.00056543,0.000452749,0.000353322,0.000450504,0.000100421,0.00032837,0.000250557
0.000552029,0.000487943,0.000476616,0.000371424,0.000496241,8.87e-05,0.000333802,0.000256794
0.000617037,0.000571675,0.000445956,0.000328288,0.000442891,0.000126847,0.000374463,0.000250777
0.000884785,0.000872016,0.000641812,0.000347199,0.000580653,0.000127393,0.000378024,0.000302841
0.000755969,0.000748709,0.000512625,0.000325883,0.000539693,0.000107315,0.000350434,0.000261405
0.000927659,0.000993962,0.000623973,0.000472081,0.000701412,0.000146801,0.000444546,0.000241392
0.000940107,0.000931627,0.000657965,0.000535656,0.000703594,0.000176748,0.000484741,0.000349618
0.00105079,0.00077161,0.000795591,0.000547443,0.000924349,0.000149755,0.000453782,0.000406357
