0,1,2,3,4,5
0.000390659,0.000399338,7.78e-05,0.000450753,0.000578109,0.00038656
0.000292034,0.000304716,5.65e-05,0.000379371,0.000414146,0.000327981
0.000272693,0.000341868,5.1e-05,0.000326179,0.000433274,0.000301272
0.000228043,0.000273493,4.66e-05,0.000288514,0.0003175,0.000264148
0.000257958,0.000405869,5.7e-05,0.000368574,0.000415257,0.000341497
0.000411308,0.000540466,7.41e-05,0.000502474,0.00065489,0.000440493
0.000482531,0.000589428,9.32e-05,0.000553103,0.000646346,0.000536424
0.000499431,0.000489781,8.44e-05,0.000582236,0.000714867,0.000502076
0.000492563,0.000438613,8.52e-05,0.000464258,0.000544669,0.000418657
0.000577757,0.000366784,0.000104262,0.00058992,0.00063922,0.000458617
0.00039887,0.000360202,6.55e-05,0.000294259,0.000477063,0.000281049
0.000475992,0.000390665,8.86e-05,0.000534144,0.000591629,0.000400553
