0,1,2,3,4,5,6,7,8,9,10,11
0.000189108,0.000184738,0.000258041,0.000356823,8.66e-05,0.000105591,6.71e-05,0.000111545,9.95e-05,4.86e-05,0.000135159,0.000107349
0.000173801,0.000136623,0.000187251,0.000272848,0.000113843,0.000144236,0.00010823,0.000147575,0.00013427,6.3e-05,0.000158701,0.000126713
0.000152664,0.000169338,0.000206557,0.000323047,0.000112264,0.000129388,0.000105117,0.000150826,0.000140438,5.44e-05,0.000140762,0.000113506
0.000166118,0.000171828,0.000201753,0.000320831,0.00013038,0.000148278,0.000118437,0.000174408,0.000145926,7.45e-05,0.000158722,0.000135099
0.000180358,0.000190255,0.00022207,0.000335862,0.000173466,0.000200696,0.000157184,0.000199221,0.000166747,8.1e-05,0.000167506,0.000149049
0.000171959,0.000217396,0.000239416,0.000345543,0.000201997,0.000215787,0.000197324,0.000237133,0.000187861,8.96e-05,0.000194428,0.000133793
0.000129238,0.000173821,0.000192704,0.000248693,0.000182152,0.000233497,0.000205001,0.000211304,0.000178439,7.85e-05,0.000148263,0.000100948
0.000187354,0.000221286,0.000248546,0.000307826,0.000196445,0.000222371,0.000193681,0.000250854,0.000204874,9.34e-05,0.000227433,0.000150222
0.000259814,0.000258937,0.000292982,0.000412357,0.000224618,0.000249759,0.000212992,0.000278488,0.000234464,0.000107297,0.000251199,0.000205907
0.000176927,0.000251227,0.000343936,0.00048363,0.000140267,0.000204613,0.00018946,0.000234704,0.0002032,8.61e-05,0.000219641,0.000227542
0.000252945,0.000257654,0.000288396,0.000451131,0.000161054,0.000172078,0.000162103,0.000208365,0.000199196,8.66e-05,0.000238724,0.0001966
0.000186328,0.000192519,0.0002132,0.00039387,0.000105588,0.000129576,0.00010237,0.000141039,0.000138968,5.08e-05,0.000147216,0.000143691
