FAO_Code,Crop,Clim,Kc_in,Kc_mid,Kc_end,lgp_f1,lgp_f2,lgp_f3,lgp_f4,Season start,Season End,RD1,RD2,DF,Type,Ky
111,wheat,2,0.7,1.15,0.3,0.125,0.208333333,0.416666667,0.25,135,255,0.2,1.25,0.55,1,1
111,wheat,3,0.7,1.15,0.3,0.111111111,0.333333333,0.388888889,0.166666667,319,134,0.2,1.25,0.55,1,1
111,wheat,4,0.7,1.15,0.3,0.47761194,0.223880597,0.223880597,0.074626866,289,259,0.2,1.25,0.55,1,1
111,wheat,5,0.7,1.15,0.3,0.111111111,0.333333333,0.388888889,0.166666667,336,151,0.2,1.25,0.55,1,1
111,wheat,7,0.4,1.15,0.3,0.47761194,0.223880597,0.223880597,0.074626866,320,290,0.2,1.25,0.55,1,1
111,wheat,8,0.4,1.15,0.3,0.47761194,0.223880597,0.223880597,0.074626866,320,290,0.2,1.25,0.55,1,1
113,maize,2,0.3,1.2,0.5,0.16,0.28,0.32,0.24,166,291,0.2,1,0.55,1,1.5
113,maize,3,0.3,1.2,0.5,0.2,0.266666667,0.333333333,0.2,1.5,255,0.2,1,0.55,1,1.5
113,maize,4,0.3,1.2,0.5,0.2,0.2,0.266666667,0.333333333,106,256,0.2,1,0.55,1,1.5
113,maize,5,0.3,1.2,0.5,0.2,0.2,0.266666667,0.333333333,136,286,0.2,1,0.55,1,1.5
113,maize,7,0.3,1.2,0.5,0.2,0.266666667,0.333333333,0.2,136,286,0.2,1,0.55,1,1.5
113,maize,8,0.3,1.2,0.5,0.2,0.266666667,0.333333333,0.2,136,286,0.2,1,0.55,1,1.5
112,rice,2,1.05,1.2,0.6,0.2,0.2,0.4,0.2,166,316,0.2,0.5,0.2,1,1.35
112,rice,3,1.05,1.2,0.6,0.166666667,0.166666667,0.444444444,0.222222222,105,255,0.2,0.5,0.2,1,1.35
112,rice,4,1.05,1.2,0.9,0.2,0.2,0.4,0.2,122,302,0.2,0.5,0.2,1,1.35
112,rice,5,1.05,1.2,0.9,0.2,0.2,0.4,0.2,136,286,0.2,0.5,0.2,1,1.35
112,rice,7,1.05,1.2,0.9,0.166666667,0.166666667,0.444444444,0.222222222,136,316,0.2,0.5,0.2,1,1.35
112,rice,8,1.05,1.2,0.9,0.166666667,0.166666667,0.444444444,0.222222222,136,316,0.2,0.5,0.2,1,1.35
114,barley,2,0.3,1.15,0.25,0.125,0.208333333,0.416666667,0.25,135,255,0.2,1,0.55,1,1
114,barley,3,0.3,1.15,0.25,0.111111111,0.333333333,0.388888889,0.166666667,319,134,0.2,1,0.55,1,1
114,barley,4,0.3,1.15,0.25,0.47761194,0.223880597,0.223880597,0.074626866,289,259,0.2,1,0.55,1,1
114,barley,5,0.3,1.15,0.25,0.111111111,0.333333333,0.388888889,0.166666667,336,151,0.2,1,0.55,1,1
114,barley,7,0.3,1.15,0.25,0.47761194,0.223880597,0.223880597,0.074626866,320,290,0.2,1,0.55,1,1
114,barley,8,0.3,1.15,0.25,0.47761194,0.223880597,0.223880597,0.074626866,320,290,0.2,1,0.55,1,1
152,sorghum,2,0.3,1,0.55,0.16,0.28,0.32,0.24,152,277,0.2,1,0.55,1,0.9
152,sorghum,3,0.3,1,0.55,0.16,0.28,0.32,0.24,182,307,0.2,1,0.55,1,0.9
152,sorghum,4,0.3,1,0.55,0.16,0.28,0.32,0.24,92,217,0.2,1,0.55,1,0.9
152,sorghum,5,0.3,1,0.55,0.153846154,0.269230769,0.346153846,0.230769231,153,283,0.2,1,0.55,1,0.9
152,sorghum,7,0.3,1,0.55,0.153846154,0.269230769,0.346153846,0.230769231,153,283,0.2,1,0.55,1,0.9
152,sorghum,8,0.3,1,0.55,0.153846154,0.269230769,0.346153846,0.230769231,153,283,0.2,1,0.55,1,0.9
202,soybean,2,0.4,1.15,0.5,0.148148148,0.222222222,0.444444444,0.185185185,153,288,0.2,0.6,0.5,1,0.85
202,soybean,3,0.4,1.15,0.5,0.148148148,0.222222222,0.444444444,0.185185185,106,241,0.2,0.6,0.5,1,0.85
202,soybean,4,0.4,1.15,0.5,0.133333333,0.166666667,0.5,0.2,122,272,0.2,0.6,0.5,1,0.85
202,soybean,5,0.4,1.15,0.5,0.133333333,0.166666667,0.5,0.2,122,272,0.2,0.6,0.5,1,0.85
202,soybean,7,0.4,1.15,0.5,0.133333333,0.166666667,0.5,0.2,131,281,0.2,0.6,0.5,1,0.85
202,soybean,8,0.4,1.15,0.5,0.133333333,0.166666667,0.5,0.2,131,281,0.2,0.6,0.5,1,0.85
204,sunflower,2,0.35,1.15,0.35,0.192307692,0.269230769,0.346153846,0.192307692,320,450,0.2,0.8,0.45,1,0.95
204,sunflower,3,0.35,1.15,0.35,0.192307692,0.269230769,0.346153846,0.192307692,320,85,0.2,0.8,0.45,1,0.95
204,sunflower,4,0.35,1.15,0.35,0.192307692,0.269230769,0.346153846,0.192307692,122,252,0.2,0.8,0.45,1,0.95
204,sunflower,5,0.35,1.15,0.35,0.192307692,0.269230769,0.346153846,0.192307692,122,252,0.2,0.8,0.45,1,0.95
204,sunflower,7,0.35,1.15,0.35,0.192307692,0.269230769,0.346153846,0.192307692,106,236,0.2,0.8,0.45,1,0.95
204,sunflower,8,0.35,1.15,0.35,0.192307692,0.269230769,0.346153846,0.192307692,106,236,0.2,0.8,0.45,1,0.95
121,potato,2,0.5,1.15,0.75,0.192307692,0.230769231,0.346153846,0.230769231,182,312,0.2,0.4,0.35,1,1.1
121,potato,3,0.5,1.15,0.75,0.192307692,0.230769231,0.346153846,0.230769231,74,204,0.2,0.4,0.35,1,1.1
121,potato,4,0.5,1.15,0.75,0.206896552,0.24137931,0.344827586,0.206896552,92,237,0.2,0.4,0.35,1,1.1
121,potato,5,0.5,1.15,0.75,0.192307692,0.230769231,0.346153846,0.230769231,122,252,0.2,0.4,0.35,1,1.1
121,potato,7,0.5,1.15,0.75,0.272727273,0.181818182,0.424242424,0.121212121,122,287,0.2,0.4,0.35,1,1.1
121,potato,8,0.5,1.15,0.75,0.272727273,0.181818182,0.424242424,0.121212121,122,287,0.2,0.4,0.35,1,1.1
157,sugar_beet,2,0.35,1.2,0.7,0.195652174,0.326086957,0.347826087,0.130434783,153,348,0.2,1,0.55,1,0.9
157,sugar_beet,3,0.35,1.2,0.7,0.277777777,0.222222222,0.277777777,0.222222222,183,13,0.2,1,0.55,1,0.9
157,sugar_beet,4,0.35,1.2,0.7,0.277777777,0.222222222,0.277777777,0.222222222,136,331,0.2,1,0.55,1,0.9
157,sugar_beet,5,0.35,1.2,0.7,0.277777777,0.222222222,0.277777777,0.222222222,136,331,0.2,1,0.55,1,0.9
157,sugar_beet,7,0.35,1.2,0.7,0.277777777,0.222222222,0.277777777,0.222222222,75,300,0.2,1,0.55,1,0.9
157,sugar_beet,8,0.35,1.2,0.7,0.277777777,0.222222222,0.277777777,0.222222222,75,300,0.2,1,0.55,1,0.9
176,beans,2,0.4,1.15,0.35,0.157894735,0.263157896,0.368421053,0.210526318,166,261,0.2,0.8,0.45,1,1.15
176,beans,3,0.4,1.15,0.35,0.181818182,0.272727273,0.363636364,0.181818182,135,245,0.2,0.8,0.45,1,1.15
176,beans,4,0.4,1.15,0.35,0.333333335,0.333333335,0.400000001,0.266666669,166,241,0.2,0.8,0.45,1,1.15
176,beans,5,0.4,1.15,0.35,0.333333335,0.333333335,0.400000001,0.266666669,166,241,0.2,0.8,0.45,1,1.15
176,beans,7,0.4,1.15,0.35,0.333333335,0.333333335,0.400000001,0.266666669,166,241,0.2,0.8,0.45,1,1.15
176,beans,8,0.4,1.15,0.35,0.333333335,0.333333335,0.400000001,0.266666669,166,241,0.2,0.8,0.45,1,1.15
270,rapeseed,2,0.35,1.15,0.35,0.2,0.4,0.2,0.2,275,60,0.2,1,0.6,1,1
270,rapeseed,3,0.35,1.15,0.35,0.2,0.4,0.2,0.2,153,303,0.2,1,0.6,1,1
270,rapeseed,4,0.35,1.15,0.35,0.2,0.4,0.2,0.2,122,302,0.2,1,0.6,1,1
270,rapeseed,5,0.35,1.15,0.35,0.2,0.4,0.2,0.2,259,74,0.2,1,0.6,1,1
270,rapeseed,7,0.35,1.15,0.35,0.2,0.4,0.2,0.2,136,316,0.2,1,0.6,1,1
270,rapeseed,8,0.35,1.15,0.35,0.2,0.4,0.2,0.2,136,316,0.2,1,0.6,1,1
191,chickpea,2,1,0.35,0.4,0.200000002,0.300000001,0.35,0.149999999,166,266,0.2,0.8,0.5,1,0.6
191,chickpea,3,1,0.35,0.4,0.200000002,0.300000001,0.35,0.149999999,91,191,0.2,0.8,0.5,1,0.6
191,chickpea,4,1,0.35,0.4,0.318181818,0.227272728,0.272727273,0.181818183,105,215,0.2,0.8,0.5,1,0.6
191,chickpea,5,1,0.35,0.4,0.318181818,0.227272728,0.272727273,0.181818183,105,215,0.2,0.8,0.5,1,0.6
191,chickpea,7,1,0.35,0.4,0.318181818,0.227272728,0.272727273,0.181818183,105,215,0.2,0.8,0.5,1,0.6
191,chickpea,8,1,0.35,0.4,0.318181818,0.227272728,0.272727273,0.181818183,105,215,0.2,0.8,0.5,1,0.6
201,lentil,2,0.4,1.1,0.3,0.147058824,0.205882353,0.411764706,0.235294117,166,336,0.2,0.7,0.5,1,1
201,lentil,3,0.4,1.1,0.3,0.147058824,0.205882353,0.411764706,0.235294117,91,261,0.2,0.7,0.5,1,1
201,lentil,4,0.4,1.1,0.3,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,0.7,0.5,1,1
201,lentil,5,0.4,1.1,0.3,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,0.7,0.5,1,1
201,lentil,7,0.4,1.1,0.3,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,0.7,0.5,1,1
201,lentil,8,0.4,1.1,0.3,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,0.7,0.5,1,1
122,sweet_potato,2,0.5,1.15,0.65,0.119999999,0.240000001,0.399999999,0.240000001,275,35,0.2,1.25,0.65,1,1
122,sweet_potato,3,0.5,1.15,0.65,0.133333334,0.2,0.400000001,0.266666666,91,241,0.2,1.25,0.65,1,1
122,sweet_potato,4,0.5,1.15,0.65,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,1.25,0.65,1,1
122,sweet_potato,5,0.5,1.15,0.65,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,1.25,0.65,1,1
122,sweet_potato,7,0.5,1.15,0.65,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,1.25,0.65,1,1
122,sweet_potato,8,0.5,1.15,0.65,0.133333334,0.2,0.400000001,0.266666666,121,271,0.2,1.25,0.65,1,1
