Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,0.649,0.356,0.879,0.203,2
ES: Mallorca,ES532,0.633,1.0,0.909,0.575,3
ES: Menorca,ES533,0.647,1.0,0.863,0.558,3
ES: Barcelona,ES511,0.65,0.546,0.99,0.351,2
ES: Badajoz,ES431,0.615,0.869,0.107,0.057,1
ES: Valencia/València,ES523,0.615,0.711,0.902,0.394,2
ES: Córdoba,ES613,0.648,0.657,0.406,0.173,1
ES: Tarragona,ES514,0.665,0.432,0.806,0.232,2
ES: Alicante/Alacant,ES521,0.665,1.0,0.934,0.621,4
ES: Cáceres,ES432,0.611,0.545,0.01,0.003,1
ES: Almería,ES611,0.743,0.998,0.592,0.439,3
ES: Cádiz,ES612,0.683,0.861,0.667,0.392,2
ES: Castellón/Castelló,ES522,0.789,0.218,0.881,0.152,1
ES: Eivissa y Formentera,ES531,0.767,1.0,0.922,0.707,4
ES: Lleida,ES513,0.758,0.409,0.655,0.203,2
ES: Toledo,ES425,0.762,0.954,0.845,0.614,4
ES: Huesca,ES241,0.658,0.488,0.527,0.169,1
ES: Asturias,ES120,0.649,0.161,0.802,0.084,1
ES: Burgos,ES412,0.696,0.76,0.802,0.424,3
ES: Pontevedra,ES114,0.714,0.46,0.758,0.249,2
ES: Ourense,ES113,0.734,0.26,0.402,0.077,1
ES: Zamora,ES419,0.732,0.622,0.304,0.138,1
ES: A Coruña,ES111,0.751,0.308,0.741,0.171,1
ES: Soria,ES417,0.678,0.705,0.293,0.14,1
ES: Lugo,ES112,0.791,0.406,0.288,0.092,1
ES: Zaragoza,ES243,0.836,0.583,0.733,0.357,2
ES: León,ES413,0.841,0.272,0.609,0.139,1
ES: Madrid,ES300,0.786,1.0,1.0,0.786,4
ES: Jaén,ES616,0.812,0.694,0.437,0.246,2
ES: Málaga,ES617,0.851,0.966,0.781,0.642,4
ES: Ávila,ES411,0.748,0.549,0.273,0.112,1
ES: Navarra,ES220,0.77,0.564,0.826,0.359,2
ES: Sevilla,ES618,0.812,0.923,0.754,0.565,3
ES: Bizkaia,ES213,0.701,0.745,0.986,0.515,3
ES: Cuenca,ES423,0.793,0.876,0.061,0.042,1
ES: Murcia,ES620,0.845,1.0,0.714,0.603,4
ES: Granada,ES614,0.805,0.975,0.642,0.504,3
ES: Huelva,ES615,0.829,0.55,0.696,0.317,2
ES: Valladolid,ES418,0.873,1.0,0.74,0.646,4
ES: Salamanca,ES415,0.815,0.459,0.549,0.205,2
ES: Palencia,ES414,0.772,0.982,0.709,0.537,3
ES: Araba/Álava,ES211,0.812,0.532,0.92,0.397,2
ES: Gipuzkoa,ES212,0.831,0.378,0.973,0.306,2
ES: Cantabria,ES130,0.807,0.187,0.898,0.136,1
ES: La Rioja,ES230,0.731,0.32,0.759,0.178,1
ES: Albacete,ES421,0.794,0.936,0.01,0.007,1
ES: Guadalajara,ES424,0.822,0.727,0.778,0.465,3
ES: Teruel,ES242,0.789,0.414,0.16,0.052,1
ES: Ciudad Real,ES422,0.797,0.639,0.21,0.107,1
ES: Segovia,ES416,0.833,0.88,0.743,0.545,3
